Date Time Latitude Longitude Elevation TimeDelta DistanceDelta Speed Slope ElevationDelta Bearing
2016-07-13 17:08:17 40.3878312092 -4.247673098 713.0 1.0 2.63101871153 10.3498242854 3.16088307376 0.4 287.737157741
2016-07-13 17:08:18 40.3878359869 -4.24770302139 712.8 1.0 2.58942948738 10.4642815269 2.91277322262 -0.2 281.839032443
2016-07-13 17:08:19 40.3878347296 -4.24773403443 712.8 1.0 2.63035184318 10.5809876251 2.80856648557 0.0 266.95329142
2016-07-13 17:08:20 40.3878274374 -4.24776462838 713.0 1.0 2.71505034718 10.698370281 2.53730916389 0.2 252.623206242
2016-07-13 17:08:21 40.3878137749 -4.24779295921 713.2 1.0 2.83996637862 10.820469489 2.52647977531 0.2 237.660421951
2016-07-13 17:08:22 40.3877945803 -4.24781793728 713.4 1.0 3.00512275188 10.9308057815 2.34636327343 0.2 224.746128004
2016-07-13 17:08:23 40.3877723683 -4.24783981405 713.4 1.0 3.08759916356 11.0279808503 2.00015748187 0.0 216.876485495
2016-07-13 17:08:24 40.3877494857 -4.24786034971 713.4 1.0 3.08206753392 11.129811428 1.64197805789 0.0 214.354801821
2016-07-13 17:08:25 40.3877263516 -4.24787971191 713.4 1.0 3.05063482586 11.2369630214 1.67127507086 0.0 212.517131074
2016-07-13 17:08:26 40.3877009545 -4.2478999123 713.6 1.0 3.30185366024 11.3615790477 1.76026678651 0.2 211.208431332
2016-07-13 17:08:27 40.3876745515 -4.24791986123 713.8 1.0 3.38733328927 11.4956312691 1.90487597254 0.2 209.91999062
2016-07-13 17:08:28 40.3876459692 -4.24793905579 713.8 1.0 3.56984856533 11.6324771569 2.11954019687 0.0 207.090114268
2016-07-13 17:08:29 40.387615962 -4.2479589209 713.6 1.0 3.73683553821 11.7708002702 2.2026236426 -0.2 206.759051474
2016-07-13 17:08:30 40.3875861224 -4.24798079766 713.6 1.0 3.80029377347 11.9067851069 2.15805082478 0.0 209.179942741
